# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Baresquare
# Property: Baresquare website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250908
# End date: 20251207
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,1391,968,1.43698347107438,0,3409,0,0
/blog/keep-your-data-local-using-ollama-and-anythingllm-for-private-ai-interactions,692,486,1.4238683127572016,0.00205761316872428,1830,0,0
/career,515,362,1.4226519337016574,0,1106,0,0
/blog,228,165,1.3818181818181818,0,534,0,0
(not set),0,132,0,0,139,0,0
/platform,226,109,2.073394495412844,0,334,2,0
/blog/openai-assistants-vs-custom-gpts,109,95,1.1473684210526316,0,312,0,0
/hire-tywin,183,94,1.946808510638298,0,248,0,0
/blog/decoding-time-series-an-in-depth-look-at-definitions-types-and-challenges,110,85,1.2941176470588236,0,294,0,0
/blog/enhancing-privacy-in-ai-protecting-user-data-in-chatgpt,72,65,1.1076923076923078,0,202,0,0
/privacy-policy,82,50,1.64,0,159,0,0
/blog/use-openai-chatgpt-with-python,108,47,2.297872340425532,0,246,0,0
/blog/a-beginners-guide-to-web-crawlers-and-scrapers,55,41,1.3414634146341464,0.14634146341463414,146,0,0
/blog/how-to-create-images-with-chatgpt,44,35,1.2571428571428571,0,117,0,0
/contact,52,35,1.4857142857142858,0,103,0,0
/blog/the-ultimate-metric-for-bot-traffic-detection,38,34,1.1176470588235294,0,125,0,0
/blog/ethics-in-ai,45,31,1.4516129032258065,0,109,0,0
/blog/openapi-specification,56,31,1.8064516129032258,0,132,0,0
/terms-of-service,42,31,1.3548387096774193,0,83,0,0
/cookie-policy,45,30,1.5,0,88,0,0
/blog/marketing-wiz-bites-01-black-friday-and-the-holiday-sprint,32,29,1.103448275862069,0,100,0,0
/blog/ultimate-guide-how-to-spot-bot-traffic,50,28,1.7857142857142858,0,120,0,0
/customer-stories,37,27,1.3703703703703705,0.18518518518518517,74,0,0
/apps/404-error-hound,24,22,1.0909090909090908,0,62,0,0
/blog/build-a-custom-seo-crawler-with-advertools,26,20,1.3,0,66,0,0
/blog/mastering-merchandising-evars-analytics-guide,54,19,2.8421052631578947,0,121,0,0
/blog/one-team-one-vision-how-effective-communication-can-eliminate-organizational-silos,21,19,1.105263157894737,0,58,0,0
/demo,29,18,1.6111111111111112,0.2777777777777778,53,0,0
/pricing,62,18,3.4444444444444446,0,89,0,0
/solutions/performance-marketers,23,18,1.2777777777777777,0,49,0,0
/solutions/analytics-leaders,23,17,1.3529411764705883,0,49,0,0
/blog/cookie-consent-models-understanding-the-pros-and-cons-for-your-website,19,16,1.1875,0,49,0,0
/old-home,19,16,1.1875,0,45,0,0
/apps/ga4-migration-gap-hunter,15,15,1,0.26666666666666666,44,0,0
/blog/guide-for-fine-tuning-a-gpt-3-model-for-analytics,17,15,1.1333333333333333,0,40,0,0
/blog/power-of-looker-studio-why-you-need-to-make-the-switch-from-excel,15,14,1.0714285714285714,0,41,0,0
/blog/query-function-google-sheets-streamline-data-analysis,16,14,1.1428571428571428,0,40,0,0
/blog/unlocking-the-black-box-the-power-of-explainable-ai-for-transparent-ai-systems,14,14,1,0,43,0,0
/customer-stories/how-sony-overcame-campaign-challenges-with-baresquare,21,14,1.5,0,39,0,0
/blog/merchandising-wiz-bites-6-premium-athleisure-marketing-2025-reality-analysis,13,13,1,0,36,0,0
/solutions/revenue-leaders,17,13,1.3076923076923077,0,37,0,0
/apps,14,12,1.1666666666666667,0.4166666666666667,36,0,0
/blog/master-business-english-with-the-help-of-ai,16,12,1.3333333333333333,0,42,0,0
/old-platform,15,12,1.25,0,33,0,0
/blog/common-mistakes-in-adobe-analysis-workspace,14,11,1.2727272727272727,0,35,0,0
/blog/gpts-one-step-closer-to-wider-ai-utilization,13,11,1.1818181818181819,0,33,0,0
