old_url,new_url,status_code,notes,original_title
"/","/",301,"direct match","Baresquare | Act fast"
"/career","/",301,"no equivalent - redirect to home","Career | Baresquare"
"/customer-stories","/",301,"no equivalent - redirect to home","Customer Stories | Baresquare"
"/blog","/blog",301,"direct match","Blog | Baresquare"
"/hire-tywin","/",301,"no equivalent - redirect to home","Hire Tywin"
"/platform","/",301,"no equivalent - redirect to home","Platform | Baresquare"
"/privacy-policy","/",301,"no equivalent - redirect to home","Privacy Policy | Baresquare"
"/terms-of-service","/",301,"no equivalent - redirect to home","Terms of Service | Baresquare"
"/cookie-policy","/",301,"no equivalent - redirect to home","Cookie Policy | Baresquare"
"/solutions/performance-marketers","/",301,"no equivalent - redirect to home","Solutions for Performance Marketers | Baresquare"
"/solutions/revenue-leaders","/",301,"no equivalent - redirect to home","Solutions for Revenue Leaders | Baresquare"
"/solutions/analytics-leaders","/",301,"no equivalent - redirect to home","Solutions for Analytics Leaders | Baresquare"
"/solutions/product-owners","/",301,"no equivalent - redirect to home","Solutions for Product Owners | Baresquare"
"/apps","/",301,"no equivalent - redirect to home","Apps | Baresquare"
"/apps/404-error-hound","/",301,"no equivalent - redirect to home","404 Error Hound | Baresquare"
"/apps/customer-acquisition-basic","/",301,"no equivalent - redirect to home","Customer Acquisition (Basic)  | Baresquare"
"/apps/customer-acquisition-business","/",301,"no equivalent - redirect to home","Customer Acquisition (Business) | Baresquare"
"/apps/ga4-migration-gap-hunter","/",301,"no equivalent - redirect to home","GA4 Migration Gap Hunter | Baresquare"
"/blog/ai-and-content-optimization-revolutionizing-ad-copy","/blog",301,"blog post - redirect to blog index","AI and Content Optimization: Revolutionizing Ad Copy | Baresquare"
"/blog/a-beginners-guide-to-web-crawlers-and-scrapers","/blog",301,"blog post - redirect to blog index","A Beginner's Guide to Web Crawlers and Scrapers | Baresquare"
"/blog/alerts-monitoring-a-quick-case-study","/blog",301,"blog post - redirect to blog index","Alerts Monitoring: A quick case study | Baresquare"
"/blog/announcing-ga4-migration-gap-hunter-app","/blog",301,"blog post - redirect to blog index","Migrate to Google Analytics 4 with accurate metrics | Baresquare"
"/blog/automate-actions-using-zapier","/blog",301,"blog post - redirect to blog index","New feature released: Automate actions using Zapier & Baresquare | Baresquare"
"/blog/a-tale-of-2-digital-analysts","/blog",301,"blog post - redirect to blog index","A tale of 2 digital analysts | Baresquare"
"/blog/baresquare-auth0-secure-easy-user-authentication","/blog",301,"blog post - redirect to blog index","Baresquare Integrates Auth0 for Secure Authentication | Baresquare"
"/blog/best-practices-on-digital-marketing-and-analytics-integration","/blog",301,"blog post - redirect to blog index","Analytics integration with digital marketing – Best practices | Baresquare"
"/blog/build-a-custom-seo-crawler-with-advertools","/blog",301,"blog post - redirect to blog index","Create Your Own SEO Crawler with advertools: a Step-by-Step Guide | Baresquare"
"/blog/boost-google-analytics-baresquare","/blog",301,"blog post - redirect to blog index","Get the most out of Google Analytics with Baresquare | Baresquare"
"/blog/boost-your-e-commerce-conversion-rates-with-custom-cta-monitoring-for-product-pages","/blog",301,"blog post - redirect to blog index","CTA Monitoring to boost E-commerce Conversions | Baresquare"
"/blog/can-large-language-models-supercharge-time-series-analysis-in-digital-marketing-and-ecommerce","/blog",301,"blog post - redirect to blog index","Can LLMs advance time series analysis in Marketing & eCom? | Baresquare"
"/blog/chat-and-website-data-unlocking-deeper-insights-for-business-success","/blog",301,"blog post - redirect to blog index","Maximizing Business Potential via Chat and Website data | Baresquare"
"/blog/common-mistakes-in-adobe-analysis-workspace","/blog",301,"blog post - redirect to blog index","Common Mistakes in Adobe Analysis Workspace | Baresquare"
"/blog/create-jira-issues-for-new-baresquare-tickets","/blog",301,"blog post - redirect to blog index","Create Jira issues for new Baresquare tickets | Baresquare"
"/blog/cookie-consent-models-understanding-the-pros-and-cons-for-your-website","/blog",301,"blog post - redirect to blog index","Understanding Cookie Consent Models: Pros and Cons | Baresquare"
"/blog/day-in-the-life-of-a-digital-analyst-at-baresquare","/blog",301,"blog post - redirect to blog index","Day in the Life of a Digital Analyst at Baresquare | Baresquare"
"/blog/decoding-time-series-an-in-depth-look-at-definitions-types-and-challenges","/blog",301,"blog post - redirect to blog index","Time Series Analysis: Definitions, Types & Challenges | Baresquare"
"/blog/digital-analytics-in-the-age-of-ai","/blog",301,"blog post - redirect to blog index","Digital analytics in the age of AI | Baresquare"
"/blog/dive-deeper-with-a-follow-up-analysis","/blog",301,"blog post - redirect to blog index","Dive deeper with a follow-up analysis | Baresquare"
"/blog/effective-data-storytelling-unleashing-insights-for-informed-decision-making","/blog",301,"blog post - redirect to blog index","Effective Data Storytelling for Informed Decision-Making | Baresquare"
"/blog/effective-communication-in-web-analytics-projects","/blog",301,"blog post - redirect to blog index","Tips for Effective Communication in Web Analytics Projects | Baresquare"
"/blog/enhancing-privacy-in-ai-protecting-user-data-in-chatgpt","/blog",301,"blog post - redirect to blog index","AI Privacy: Learn How to Anonymize User Data in ChatGPT | Baresquare"
"/blog/ethics-in-ai","/blog",301,"blog post - redirect to blog index","Ethics in AI: Balancing Innovation with Responsibility | Baresquare"
"/blog/ga4-bigquery-integration-for-unsampled-data-and-deeper-insights","/blog",301,"blog post - redirect to blog index","GA4 BigQuery Integration for Unsampled Data and Deeper Insig | Baresquare"
"/blog/ga4-ecommerce-best-practices-2024","/blog",301,"blog post - redirect to blog index","Unleashing GA4 Ecommerce: Mastering Insights and Performance | Baresquare"
"/blog/google-analytics-alerts-and-baresquare","/blog",301,"blog post - redirect to blog index","Maximize Your Website's Potential with GA Alerts and Baresquare | Baresquare"
"/blog/google-analytics-ga4-ua-discrepancies","/blog",301,"blog post - redirect to blog index","GA4: Learn how to interpret discrepancies to Google Analytics (UA) | Baresquare"
"/blog/google-looker-studio-best-practices-for-reports","/blog",301,"blog post - redirect to blog index","Google Looker Studio Best Practices for Reports | Baresquare"
"/blog/gpts-one-step-closer-to-wider-ai-utilization","/blog",301,"blog post - redirect to blog index","GPTs: One Step Closer to Wider AI Utilization | Baresquare"
"/blog/ai-prompting","/blog",301,"blog post - redirect to blog index","AI Prompting: Hands-On Experimentation vs Structured Framewo | Baresquare"
"/blog/guide-for-fine-tuning-a-gpt-3-model-for-analytics","/blog",301,"blog post - redirect to blog index","A comprehensive guide to fine-tuning a GPT-3 model | Baresquare"
"/blog/how-saas-tools-contributed-to-the-evolution-of-data-analytics","/blog",301,"blog post - redirect to blog index","How SaaS tools contributed to the evolution of data analytics | Baresquare"
"/blog/how-to-create-images-with-chatgpt","/blog",301,"blog post - redirect to blog index","How to Create Images with ChatGPT | Baresquare"
"/blog/how-to-prepare-for-a-job-interview-with-ai","/blog",301,"blog post - redirect to blog index","How to Prepare for a Job Interview with AI | Baresquare"
"/blog/introducing-ecom-product-analyst-custom-gpt","/blog",301,"blog post - redirect to blog index","Supercharge Sales with eCom Product Analyst custom GPT | Baresquare"
"/blog/importance-of-human-expertise-in-ai","/blog",301,"blog post - redirect to blog index","AI and Human Expertise: Why Education Still Matters | Baresquare"
"/blog/introducing-our-new-feature-share-a-baresquare-ticket-on-slack","/blog",301,"blog post - redirect to blog index","Introducing our new feature: Share a Baresquare ticket on Slack! | Baresquare"
"/blog/introducing-new-zapier-actions-for-effortless-ticket-management","/blog",301,"blog post - redirect to blog index","Introducing New Zapier Actions | Baresquare"
"/blog/keep-your-data-local-using-ollama-and-anythingllm-for-private-ai-interactions","/blog",301,"blog post - redirect to blog index","Private Doc Analysis with Ollama & AnythingLLM | Baresquare"
"/blog/master-business-english-with-the-help-of-ai","/blog",301,"blog post - redirect to blog index","Master Business English with the Help of AI | Baresquare"
"/blog/mastering-web-scraping-with-puppeteer-a-comprehensive-tutorial","/blog",301,"blog post - redirect to blog index","Mastering Web Scraping with Puppeteer: Step-by-Step Tutorial | Baresquare"
"/blog/mastering-merchandising-evars-analytics-guide","/blog",301,"blog post - redirect to blog index","A Guide to Demystifying Merchandising eVars in Analytics | Baresquare"
"/blog/marketing-wiz-bites-01-black-friday-and-the-holiday-sprint","/blog",301,"blog post - redirect to blog index","Black Friday and the Holiday Sprint | Baresquare"
"/blog/merchandising-wiz-bites-2-apparel-and-pop-culture-leaders-stitched-up-2024","/blog",301,"blog post - redirect to blog index","The 2024 Apparel and Pop-culture Playbook | Baresquare"
"/blog/merchandising-wiz-bites-3-unwinding-the-holiday-strategies-of-timepiece-giants","/blog",301,"blog post - redirect to blog index","Unwinding the Holiday Strategies of Timepiece Giants | Baresquare"
"/blog/one-team-one-vision-how-effective-communication-can-eliminate-organizational-silos","/blog",301,"blog post - redirect to blog index","Strategies to break down organizational silos | Baresquare"
"/blog/openapi-specification","/blog",301,"blog post - redirect to blog index","OpenAPI Specification: A Crucial Tool in the Age of AI | Baresquare"
"/blog/openai-assistants-vs-custom-gpts","/blog",301,"blog post - redirect to blog index","Differences between OpenAI Assistants and Custom GPTs | Baresquare"
"/blog/optimize-slack-efficiency-essential-apps","/blog",301,"blog post - redirect to blog index","Elevate your Slack workflow with these powerful apps | Baresquare"
"/blog/power-and-pitfalls-of-gen-ai-assistants-in-coding","/blog",301,"blog post - redirect to blog index","The Power and Pitfalls of Generative AI Assistants in Coding | Baresquare"
"/blog/power-of-looker-studio-why-you-need-to-make-the-switch-from-excel","/blog",301,"blog post - redirect to blog index","Say Goodbye to Excel Reporting: The Benefits of Looker Studio | Baresquare"
"/blog/query-function-google-sheets-streamline-data-analysis","/blog",301,"blog post - redirect to blog index","QUERY Function in Google Sheets: Simplifying Data Analysis | Baresquare"
"/blog/real-time-personalization-adobe-target-guide","/blog",301,"blog post - redirect to blog index","Real-Time Personalization: Unlocking it with Adobe Target | Baresquare"
