old_url,priority,score,action,redirect_target,title,notes
"/","critical",100,"preserve","/","Baresquare | Act fast","Homepage - direct match"
"/blog/a-beginners-guide-to-web-crawlers-and-scrapers","high",95,"evaluate","/blog","A Beginner's Guide to Web Crawlers and Scrapers | Baresquare","High-value blog - consider migration"
"/blog/build-a-custom-seo-crawler-with-advertools","high",95,"map","/services/ai-search-marketing","Create Your Own SEO Crawler with advertools: a Step-by-Step ","SEO/Marketing → AI Search service"
"/blog/enhancing-privacy-in-ai-protecting-user-data-in-chatgpt","high",95,"map","/","AI Privacy: Learn How to Anonymize User Data in ChatGPT | Ba","AI content → Homepage (AI-focused)"
"/blog/google-analytics-ga4-ua-discrepancies","high",95,"map","/services/data-operations","GA4: Learn how to interpret discrepancies to Google Analytic","Analytics content → Data & Operations"
"/blog/google-looker-studio-best-practices-for-reports","high",95,"evaluate","/blog","Google Looker Studio Best Practices for Reports | Baresquare","High-value blog - consider migration"
"/blog/how-to-create-images-with-chatgpt","high",95,"map","/","How to Create Images with ChatGPT | Baresquare","AI content → Homepage (AI-focused)"
"/blog/how-to-prepare-for-a-job-interview-with-ai","high",95,"map","/","How to Prepare for a Job Interview with AI | Baresquare","AI content → Homepage (AI-focused)"
"/blog/mastering-web-scraping-with-puppeteer-a-comprehensive-tutorial","high",95,"evaluate","/blog","Mastering Web Scraping with Puppeteer: Step-by-Step Tutorial","High-value blog - consider migration"
"/blog/use-openai-chatgpt-with-python","high",95,"map","/","A beginner’s guide to ChatGPT API using Python | Baresquare","AI content → Homepage (AI-focused)"
"/blog/ai-and-content-optimization-revolutionizing-ad-copy","high",75,"map","/","AI and Content Optimization: Revolutionizing Ad Copy | Bares","AI content → Homepage (AI-focused)"
"/blog/announcing-ga4-migration-gap-hunter-app","high",75,"map","/services/data-operations","Migrate to Google Analytics 4 with accurate metrics | Baresq","Analytics content → Data & Operations"
"/blog/boost-google-analytics-baresquare","high",75,"map","/services/data-operations","Get the most out of Google Analytics with Baresquare | Bares","Analytics content → Data & Operations"
"/blog/common-mistakes-in-adobe-analysis-workspace","high",75,"evaluate","/blog","Common Mistakes in Adobe Analysis Workspace | Baresquare","High-value blog - consider migration"
"/blog/digital-analytics-in-the-age-of-ai","high",75,"map","/","Digital analytics in the age of AI | Baresquare","AI content → Homepage (AI-focused)"
"/blog/ethics-in-ai","high",75,"map","/","Ethics in AI: Balancing Innovation with Responsibility | Bar","AI content → Homepage (AI-focused)"
"/blog/ga4-bigquery-integration-for-unsampled-data-and-deeper-insights","high",75,"map","/services/data-operations","GA4 BigQuery Integration for Unsampled Data and Deeper Insig","Analytics content → Data & Operations"
"/blog/ga4-ecommerce-best-practices-2024","high",75,"map","/services/data-operations","Unleashing GA4 Ecommerce: Mastering Insights and Performance","Analytics content → Data & Operations"
"/blog/gpts-one-step-closer-to-wider-ai-utilization","high",75,"map","/","GPTs: One Step Closer to Wider AI Utilization | Baresquare","AI content → Homepage (AI-focused)"
"/blog/ai-prompting","high",75,"map","/","AI Prompting: Hands-On Experimentation vs Structured Framewo","AI content → Homepage (AI-focused)"
"/blog/importance-of-human-expertise-in-ai","high",75,"map","/","AI and Human Expertise: Why Education Still Matters | Baresq","AI content → Homepage (AI-focused)"
"/blog/master-business-english-with-the-help-of-ai","high",75,"map","/","Master Business English with the Help of AI | Baresquare","AI content → Homepage (AI-focused)"
"/blog/openapi-specification","high",75,"map","/","OpenAPI Specification: A Crucial Tool in the Age of AI | Bar","AI content → Homepage (AI-focused)"
"/blog/openai-assistants-vs-custom-gpts","high",75,"map","/","Differences between OpenAI Assistants and Custom GPTs | Bare","AI content → Homepage (AI-focused)"
"/blog/power-and-pitfalls-of-gen-ai-assistants-in-coding","high",75,"map","/","The Power and Pitfalls of Generative AI Assistants in Coding","AI content → Homepage (AI-focused)"
"/blog/power-of-looker-studio-why-you-need-to-make-the-switch-from-excel","high",75,"evaluate","/blog","Say Goodbye to Excel Reporting: The Benefits of Looker Studi","High-value blog - consider migration"
"/blog/real-time-personalization-adobe-target-guide","high",75,"evaluate","/blog","Real-Time Personalization: Unlocking it with Adobe Target | ","High-value blog - consider migration"
"/blog/revolutionize-analytics-ai-guide-building-digital-assistant-openai-api","high",75,"map","/","AI-Powered Digital Assistant: Advanced Analytics with OpenAI","AI content → Homepage (AI-focused)"
"/blog/spot-broken-digital-campaigns-tracking-with-google-and-adobe-analytics","high",75,"map","/","Spot mistracked Marketing Campaigns with Google and Adobe An","AI content → Homepage (AI-focused)"
"/blog/the-power-of-ai-in-personalized-marketing","high",75,"map","/","The Power of AI in Personalized Marketing | Baresquare","AI content → Homepage (AI-focused)"
"/blog/the-ultimate-metric-for-bot-traffic-detection","high",75,"evaluate","/blog","The ultimate metric for bot detection in Adobe Analytics | B","High-value blog - consider migration"
